"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"geral","qt_criancas","0 - 5m","Feminino",-0.58,-0.22,0.16,111604
"geral","qt_criancas","0 - 5m","Masculino",-0.73,-0.27,0.19,114538
"geral","qt_criancas","06 - 11m","Feminino",-0.32,0.26,0.62,336032
"geral","qt_criancas","06 - 11m","Masculino",-0.5,0.19,0.65,331206
"geral","qt_criancas","12 - 17m","Feminino",-0.43,0.3,0.78,536718
"geral","qt_criancas","12 - 17m","Masculino",-0.63,0.19,0.78,525085
"geral","qt_criancas","18 - 23m","Feminino",-0.43,0.24,0.71,701992
"geral","qt_criancas","18 - 23m","Masculino",-0.59,0.14,0.71,686426
"geral","qt_criancas","2a","Feminino",-0.26,0.12,0.39,1336485
"geral","qt_criancas","2a","Masculino",-0.36,0.08,0.42,1312496
"geral","qt_criancas","3a","Feminino",-0.23,0.02,0.24,1523015
"geral","qt_criancas","3a","Masculino",-0.23,0.08,0.34,1497840
"geral","qt_criancas","4a","Feminino",-0.2,-0.04,0.13,1555093
"geral","qt_criancas","4a","Masculino",-0.16,0.08,0.29,1505034
"geral","qt_criancas","5a","Feminino",-0.13,0,0.1,1456331
"geral","qt_criancas","5a","Masculino",-0.15,0.09,0.24,1393829
"geral","qt_criancas","6a","Feminino",-0.06,0.07,0.11,1223009
"geral","qt_criancas","6a","Masculino",-0.12,0.08,0.2,1149512
"geral","qt_criancas","7a","Feminino",0.03,0.17,0.17,603344
"geral","qt_criancas","7a","Masculino",-0.04,0.14,0.2,392008
"geral","qt_criancas","8a","Feminino",0.03,0.2,0.22,423019
"geral","qt_criancas","8a","Masculino",0.02,0.25,0.29,111714
"geral","qt_criancas","9a","Feminino",-0.05,0.16,0.22,391774
"geral","qt_criancas","9a","Masculino",0,0.27,0.34,91175
"regiao","centro_oeste","0 - 5m","Feminino",-0.49,-0.2,0.12,6510
"regiao","nordeste","0 - 5m","Feminino",-0.31,0.1,0.4,31212
"regiao","norte","0 - 5m","Feminino",-0.36,0.07,0.39,5369
"regiao","sudeste","0 - 5m","Feminino",-0.68,-0.36,0.03,40394
"regiao","sul","0 - 5m","Feminino",-0.79,-0.42,0.02,28119
"regiao","centro_oeste","0 - 5m","Masculino",-0.65,-0.22,0.21,6703
"regiao","nordeste","0 - 5m","Masculino",-0.52,0.03,0.45,31466
"regiao","norte","0 - 5m","Masculino",-0.51,0.05,0.48,5570
