"tabela","categoria","idade_cat","sexo","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade"
"geral","geral","0 - 5m","Feminino",8.85,0.09,2.8,0.05
"geral","geral","0 - 5m","Masculino",10.47,0.09,3.39,0.05
"geral","geral","06 - 11m","Feminino",16.92,0.06,5.68,0.04
"geral","geral","06 - 11m","Masculino",18.83,0.07,6.53,0.04
"geral","geral","12 - 17m","Feminino",18.88,0.05,6.03,0.03
"geral","geral","12 - 17m","Masculino",20.3,0.06,6.77,0.03
"geral","geral","18 - 23m","Feminino",17.72,0.05,5.54,0.03
"geral","geral","18 - 23m","Masculino",19.03,0.05,6.28,0.03
"geral","geral","2a","Feminino",13.35,0.03,4.38,0.02
"geral","geral","2a","Masculino",14.51,0.03,5,0.02
"geral","geral","3a","Feminino",11.02,0.03,3.58,0.02
"geral","geral","3a","Masculino",12.53,0.03,4.57,0.02
"geral","geral","4a","Feminino",8.92,0.02,3.07,0.01
"geral","geral","4a","Masculino",10.66,0.03,3.98,0.02
"geral","geral","5a","Feminino",22.34,0.03,8.48,0.02
"geral","geral","5a","Masculino",25.95,0.04,10.48,0.03
"geral","geral","6a","Feminino",22.75,0.04,8.62,0.03
"geral","geral","6a","Masculino",25.03,0.04,10.68,0.03
"geral","geral","7a","Feminino",24.79,0.06,9.55,0.04
"geral","geral","7a","Masculino",25.61,0.07,11.14,0.05
"geral","geral","8a","Feminino",27.16,0.07,10.45,0.05
"geral","geral","8a","Masculino",27.77,0.13,12.95,0.1
"geral","geral","9a","Feminino",28.15,0.07,10.09,0.05
"geral","geral","9a","Masculino",30,0.15,14.12,0.12
"regiao","centro_oeste","0 - 5m","Feminino",8.42,0.34,2.32,0.19
"regiao","nordeste","0 - 5m","Feminino",13.6,0.19,4.74,0.12
"regiao","norte","0 - 5m","Feminino",14.27,0.48,5.38,0.31
"regiao","sudeste","0 - 5m","Feminino",6.59,0.12,1.87,0.07
"regiao","sul","0 - 5m","Feminino",5.89,0.14,1.61,0.08
"regiao","centro_oeste","0 - 5m","Masculino",10.88,0.38,3.39,0.22
"regiao","nordeste","0 - 5m","Masculino",15.89,0.21,5.55,0.13
"regiao","norte","0 - 5m","Masculino",16.25,0.49,5.75,0.31
"regiao","sudeste","0 - 5m","Masculino",8.07,0.13,2.43,0.08
"regiao","sul","0 - 5m","Masculino",6.83,0.15,1.98,0.08
"regiao","centro_oeste","06 - 11m","Feminino",14.18,0.26,4.54,0.16
"regiao","nordeste","06 - 11m","Feminino",21.18,0.11,7.54,0.07
"regiao","norte","06 - 11m","Feminino",20.63,0.23,7.24,0.15
"regiao","sudeste","06 - 11m","Feminino",12.31,0.11,3.7,0.06
