"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"geral","qt_criancas","0 - 5m","Feminino","Rural",-0.5,-0.12,0.24,25908
"geral","qt_criancas","0 - 5m","Feminino","Urbana",-0.6,-0.24,0.13,85696
"geral","qt_criancas","0 - 5m","Masculino","Rural",-0.67,-0.18,0.28,26580
"geral","qt_criancas","0 - 5m","Masculino","Urbana",-0.74,-0.3,0.16,87958
"geral","qt_criancas","06 - 11m","Feminino","Rural",-0.35,0.29,0.69,97069
"geral","qt_criancas","06 - 11m","Feminino","Urbana",-0.3,0.25,0.59,238963
"geral","qt_criancas","06 - 11m","Masculino","Rural",-0.56,0.21,0.72,96916
"geral","qt_criancas","06 - 11m","Masculino","Urbana",-0.48,0.18,0.62,234290
"geral","qt_criancas","12 - 17m","Feminino","Rural",-0.49,0.29,0.81,158254
"geral","qt_criancas","12 - 17m","Feminino","Urbana",-0.41,0.3,0.76,378464
"geral","qt_criancas","12 - 17m","Masculino","Rural",-0.7,0.16,0.79,158294
"geral","qt_criancas","12 - 17m","Masculino","Urbana",-0.6,0.21,0.77,366791
"geral","qt_criancas","18 - 23m","Feminino","Rural",-0.49,0.19,0.69,209274
"geral","qt_criancas","18 - 23m","Feminino","Urbana",-0.41,0.25,0.71,492718
"geral","qt_criancas","18 - 23m","Masculino","Rural",-0.65,0.08,0.69,208468
"geral","qt_criancas","18 - 23m","Masculino","Urbana",-0.56,0.16,0.72,477958
"geral","qt_criancas","2a","Feminino","Rural",-0.32,0.04,0.33,394116
"geral","qt_criancas","2a","Feminino","Urbana",-0.24,0.15,0.41,942369
"geral","qt_criancas","2a","Masculino","Rural",-0.43,-0.01,0.37,394744
"geral","qt_criancas","2a","Masculino","Urbana",-0.33,0.11,0.45,917752
"geral","qt_criancas","3a","Feminino","Rural",-0.3,-0.08,0.16,456221
"geral","qt_criancas","3a","Feminino","Urbana",-0.2,0.06,0.28,1066794
"geral","qt_criancas","3a","Masculino","Rural",-0.31,-0.02,0.28,456616
"geral","qt_criancas","3a","Masculino","Urbana",-0.2,0.12,0.37,1041224
"geral","qt_criancas","4a","Feminino","Rural",-0.28,-0.16,0.03,466458
"geral","qt_criancas","4a","Feminino","Urbana",-0.16,0.01,0.18,1088635
"geral","qt_criancas","4a","Masculino","Rural",-0.26,-0.03,0.21,461069
"geral","qt_criancas","4a","Masculino","Urbana",-0.12,0.13,0.33,1043965
"geral","qt_criancas","5a","Feminino","Rural",-0.22,-0.14,-0.02,439307
"geral","qt_criancas","5a","Feminino","Urbana",-0.08,0.06,0.15,1017024
"geral","qt_criancas","5a","Masculino","Rural",-0.26,-0.05,0.14,432286
"geral","qt_criancas","5a","Masculino","Urbana",-0.1,0.15,0.29,961543
"geral","qt_criancas","6a","Feminino","Rural",-0.16,-0.07,0,375980
"geral","qt_criancas","6a","Feminino","Urbana",-0.01,0.14,0.16,847029
"geral","qt_criancas","6a","Masculino","Rural",-0.24,-0.07,0.09,365591
"geral","qt_criancas","6a","Masculino","Urbana",-0.07,0.15,0.25,783921
"geral","qt_criancas","7a","Feminino","Rural",-0.07,0.04,0.06,186330
"geral","qt_criancas","7a","Feminino","Urbana",0.08,0.24,0.22,417014
"geral","qt_criancas","7a","Masculino","Rural",-0.16,-0.02,0.09,125326
"geral","qt_criancas","7a","Masculino","Urbana",0.01,0.21,0.26,266682
"geral","qt_criancas","8a","Feminino","Rural",-0.08,0.07,0.12,139725
"geral","qt_criancas","8a","Feminino","Urbana",0.08,0.27,0.27,283294
"geral","qt_criancas","8a","Masculino","Rural",-0.1,0.08,0.16,33605
"geral","qt_criancas","8a","Masculino","Urbana",0.07,0.32,0.34,78109
"geral","qt_criancas","9a","Feminino","Rural",-0.17,0.02,0.12,135817
"geral","qt_criancas","9a","Feminino","Urbana",0.01,0.23,0.27,255957
"geral","qt_criancas","9a","Masculino","Rural",-0.13,0.1,0.21,28422
"geral","qt_criancas","9a","Masculino","Urbana",0.06,0.35,0.4,62753
"regiao","centro_oeste","0 - 5m","Feminino","Rural",-0.49,-0.14,0.22,465
"regiao","centro_oeste","0 - 5m","Feminino","Urbana",-0.49,-0.2,0.11,6045
"regiao","nordeste","0 - 5m","Feminino","Rural",-0.32,0.09,0.4,12107
"regiao","nordeste","0 - 5m","Feminino","Urbana",-0.31,0.11,0.41,19105
"regiao","norte","0 - 5m","Feminino","Rural",-0.45,0,0.37,1439
"regiao","norte","0 - 5m","Feminino","Urbana",-0.32,0.1,0.4,3930
"regiao","sudeste","0 - 5m","Feminino","Rural",-0.63,-0.3,0.08,7309
"regiao","sudeste","0 - 5m","Feminino","Urbana",-0.69,-0.37,0.02,33085
"regiao","sul","0 - 5m","Feminino","Rural",-0.8,-0.41,0.06,4588
"regiao","sul","0 - 5m","Feminino","Urbana",-0.79,-0.42,0.02,23531
"regiao","centro_oeste","0 - 5m","Masculino","Rural",-0.57,-0.08,0.35,496
"regiao","centro_oeste","0 - 5m","Masculino","Urbana",-0.66,-0.23,0.2,6207
"regiao","nordeste","0 - 5m","Masculino","Rural",-0.56,0.01,0.46,12384
"regiao","nordeste","0 - 5m","Masculino","Urbana",-0.49,0.04,0.45,19082
"regiao","norte","0 - 5m","Masculino","Rural",-0.63,0.02,0.53,1459
"regiao","norte","0 - 5m","Masculino","Urbana",-0.46,0.06,0.46,4111
"regiao","sudeste","0 - 5m","Masculino","Rural",-0.78,-0.36,0.1,7511
"regiao","sudeste","0 - 5m","Masculino","Urbana",-0.82,-0.42,0.05,34136
"regiao","sul","0 - 5m","Masculino","Rural",-0.83,-0.45,0.02,4730
"regiao","sul","0 - 5m","Masculino","Urbana",-0.9,-0.47,0.03,24422
"regiao","centro_oeste","06 - 11m","Feminino","Rural",-0.32,0.1,0.41,2059
"regiao","centro_oeste","06 - 11m","Feminino","Urbana",-0.31,0.14,0.45,15860
"regiao","nordeste","06 - 11m","Feminino","Rural",-0.35,0.36,0.78,60246
"regiao","nordeste","06 - 11m","Feminino","Urbana",-0.28,0.39,0.77,86215
"regiao","norte","06 - 11m","Feminino","Rural",-0.61,0.21,0.79,9682
"regiao","norte","06 - 11m","Feminino","Urbana",-0.41,0.29,0.74,20704
"regiao","sudeste","06 - 11m","Feminino","Rural",-0.23,0.18,0.44,16092
"regiao","sudeste","06 - 11m","Feminino","Urbana",-0.29,0.14,0.44,73779
"regiao","sul","06 - 11m","Feminino","Rural",-0.31,0.17,0.48,8990
"regiao","sul","06 - 11m","Feminino","Urbana",-0.29,0.17,0.48,42405
