"tabela","categoria","idade_cat","sexo","region_cadunico","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade"
"geral","geral","0 - 5m","Feminino","Rural",11.21,0.2,3.91,0.12
"geral","geral","0 - 5m","Feminino","Urbana",8.14,0.09,2.47,0.05
"geral","geral","0 - 5m","Masculino","Rural",13.29,0.21,4.62,0.13
"geral","geral","0 - 5m","Masculino","Urbana",9.61,0.1,3.02,0.06
"geral","geral","06 - 11m","Feminino","Rural",19.51,0.13,6.83,0.08
"geral","geral","06 - 11m","Feminino","Urbana",15.87,0.07,5.21,0.05
"geral","geral","06 - 11m","Masculino","Rural",21.54,0.13,7.84,0.09
"geral","geral","06 - 11m","Masculino","Urbana",17.71,0.08,5.99,0.05
"geral","geral","12 - 17m","Feminino","Rural",20.55,0.1,6.86,0.06
"geral","geral","12 - 17m","Feminino","Urbana",18.18,0.06,5.69,0.04
"geral","geral","12 - 17m","Masculino","Rural",21.8,0.1,7.59,0.07
"geral","geral","12 - 17m","Masculino","Urbana",19.66,0.07,6.42,0.04
"geral","geral","18 - 23m","Feminino","Rural",18.33,0.08,5.85,0.05
"geral","geral","18 - 23m","Feminino","Urbana",17.45,0.05,5.41,0.03
"geral","geral","18 - 23m","Masculino","Rural",19.5,0.09,6.62,0.05
"geral","geral","18 - 23m","Masculino","Urbana",18.83,0.06,6.13,0.03
"geral","geral","2a","Feminino","Rural",13.15,0.05,4.32,0.03
"geral","geral","2a","Feminino","Urbana",13.43,0.04,4.41,0.02
"geral","geral","2a","Masculino","Rural",14.5,0.06,5.03,0.03
"geral","geral","2a","Masculino","Urbana",14.51,0.04,4.99,0.02
"geral","geral","3a","Feminino","Rural",10.46,0.05,3.34,0.03
"geral","geral","3a","Feminino","Urbana",11.26,0.03,3.68,0.02
"geral","geral","3a","Masculino","Rural",12.17,0.05,4.39,0.03
"geral","geral","3a","Masculino","Urbana",12.69,0.03,4.65,0.02
"geral","geral","4a","Feminino","Rural",7.95,0.04,2.6,0.02
"geral","geral","4a","Feminino","Urbana",9.33,0.03,3.27,0.02
"geral","geral","4a","Masculino","Rural",9.85,0.04,3.53,0.03
"geral","geral","4a","Masculino","Urbana",11.02,0.03,4.17,0.02
"geral","geral","5a","Feminino","Rural",20.05,0.06,7.11,0.04
"geral","geral","5a","Feminino","Urbana",23.33,0.04,9.08,0.03
"geral","geral","5a","Masculino","Rural",24.1,0.07,9.2,0.04
"geral","geral","5a","Masculino","Urbana",26.78,0.05,11.05,0.03
"geral","geral","6a","Feminino","Rural",20.16,0.07,7.02,0.04
"geral","geral","6a","Feminino","Urbana",23.9,0.05,9.33,0.03
"geral","geral","6a","Masculino","Rural",22.8,0.07,9.07,0.05
"geral","geral","6a","Masculino","Urbana",26.07,0.05,11.42,0.04
"geral","geral","7a","Feminino","Rural",21.98,0.1,7.81,0.06
"geral","geral","7a","Feminino","Urbana",26.04,0.07,10.33,0.05
"geral","geral","7a","Masculino","Rural",22.95,0.12,9.23,0.08
"geral","geral","7a","Masculino","Urbana",26.86,0.09,12.05,0.06
"geral","geral","8a","Feminino","Rural",24.29,0.11,8.67,0.08
